CO2 Concentration,Predicted_GPP,Pa
369.278,1561.64923,388.1
369.6003333,1562.028038,388.1
369.9226667,1562.406845,388.1
370.245,1562.785653,388.1
370.5673333,1563.164461,388.1
370.8896667,1563.543269,388.1
371.212,1563.922077,388.1
371.5343333,1564.300884,388.1
371.8566667,1564.679692,388.1
372.179,1565.0585,388.1
372.5013333,1565.437308,388.1
372.8236667,1565.816116,388.1
373.146,1566.194923,388.1
373.4683333,1566.573731,388.1
373.7906667,1566.952539,388.1
374.113,1567.331347,388.1
374.4353333,1567.710155,388.1
374.7576667,1568.088962,388.1
375.08,1568.46777,388.1
375.4023333,1568.846578,388.1
375.7246667,1569.225386,388.1
376.047,1569.604194,388.1
376.3693333,1569.983001,388.1
376.6916667,1570.361809,388.1
377.014,1570.740617,388.1
377.3363333,1571.119425,388.1
377.6586667,1571.498232,388.1
377.981,1571.87704,388.1
378.3033333,1572.255848,388.1
378.6256667,1572.634656,388.1
378.948,1573.013464,388.1
379.2703333,1573.392271,388.1
379.5926667,1573.771079,388.1
379.915,1574.149887,388.1
380.2373333,1574.528695,388.1
380.5596667,1574.907503,388.1
380.882,1575.28631,388.1
381.2043333,1575.665118,388.1
381.5266667,1576.043926,388.1
381.849,1576.422734,388.1
382.1713333,1576.801542,388.1
382.4936667,1577.180349,388.1
382.816,1577.559157,388.1
383.1383333,1577.937965,388.1
383.4606667,1578.316773,388.1
383.783,1578.695581,388.1
384.1053333,1579.074388,388.1
384.4276667,1579.453196,388.1
384.75,1579.832004,388.1
385.0723333,1580.210812,388.1
385.3946667,1580.58962,388.1
385.717,1580.968427,388.1
386.0393333,1581.347235,388.1
386.3616667,1581.726043,388.1
386.684,1582.104851,388.1
387.0063333,1582.483659,388.1
387.3286667,1582.862466,388.1
387.651,1583.241274,388.1
387.9733333,1583.620082,388.1
388.2956667,1583.99889,388.1
388.618,1584.377698,388.1
388.9403333,1584.756505,388.1
389.2626667,1585.135313,388.1
389.585,1585.514121,388.1
389.9073333,1585.892929,388.1
390.2296667,1586.271736,388.1
390.552,1586.650544,388.1
390.8743333,1587.029352,388.1
391.1966667,1587.40816,388.1
391.519,1587.786968,388.1
391.8413333,1588.165775,388.1
392.1636667,1588.544583,388.1
392.486,1588.923391,388.1
392.8083333,1589.302199,388.1
393.1306667,1589.681007,388.1
393.453,1590.059814,388.1
393.7753333,1590.438622,388.1
394.0976667,1590.81743,388.1
394.42,1591.196238,388.1
394.7423333,1591.575046,388.1
395.0646667,1591.953853,388.1
395.387,1592.332661,388.1
395.7093333,1592.711469,388.1
396.0316667,1593.090277,388.1
396.354,1593.469085,388.1
396.6763333,1593.847892,388.1
396.9986667,1594.2267,388.1
397.321,1594.605508,388.1
397.6433333,1594.984316,388.1
397.9656667,1595.363124,388.1
398.288,1595.741931,388.1
398.6103333,1596.120739,388.1
398.9326667,1596.499547,388.1
399.255,1596.878355,388.1
399.5773333,1597.257163,388.1
399.8996667,1597.63597,388.1
400.222,1598.014778,388.1
400.5443333,1598.393586,388.1
400.8666667,1598.772394,388.1
401.189,1599.151202,388.1
369.278,1517.316927,753.7844615
369.6003333,1520.936745,753.7844615
369.9226667,1524.556562,753.7844615
370.245,1528.176379,753.7844615
370.5673333,1531.796196,753.7844615
370.8896667,1535.416013,753.7844615
371.212,1539.03583,753.7844615
371.5343333,1542.655647,753.7844615
371.8566667,1546.275464,753.7844615
372.179,1549.895281,753.7844615
372.5013333,1553.515098,753.7844615
372.8236667,1557.134915,753.7844615
373.146,1560.754733,753.7844615
373.4683333,1564.37455,753.7844615
373.7906667,1567.994367,753.7844615
374.113,1571.614184,753.7844615
374.4353333,1575.234001,753.7844615
374.7576667,1578.853818,753.7844615
375.08,1582.473635,753.7844615
375.4023333,1586.093452,753.7844615
375.7246667,1589.713269,753.7844615
376.047,1593.333086,753.7844615
376.3693333,1596.952904,753.7844615
376.6916667,1600.572721,753.7844615
377.014,1604.192538,753.7844615
377.3363333,1607.812355,753.7844615
377.6586667,1611.432172,753.7844615
377.981,1615.051989,753.7844615
378.3033333,1618.671806,753.7844615
378.6256667,1622.291623,753.7844615
378.948,1625.91144,753.7844615
379.2703333,1629.531257,753.7844615
379.5926667,1633.151075,753.7844615
379.915,1636.770892,753.7844615
380.2373333,1640.390709,753.7844615
380.5596667,1644.010526,753.7844615
380.882,1647.630343,753.7844615
381.2043333,1651.25016,753.7844615
381.5266667,1654.869977,753.7844615
381.849,1658.489794,753.7844615
382.1713333,1662.109611,753.7844615
382.4936667,1665.729428,753.7844615
382.816,1669.349245,753.7844615
383.1383333,1672.969063,753.7844615
383.4606667,1676.58888,753.7844615
383.783,1680.208697,753.7844615
384.1053333,1683.828514,753.7844615
384.4276667,1687.448331,753.7844615
384.75,1691.068148,753.7844615
385.0723333,1694.687965,753.7844615
385.3946667,1698.307782,753.7844615
385.717,1701.927599,753.7844615
386.0393333,1705.547416,753.7844615
386.3616667,1709.167234,753.7844615
386.684,1712.787051,753.7844615
387.0063333,1716.406868,753.7844615
387.3286667,1720.026685,753.7844615
387.651,1723.646502,753.7844615
387.9733333,1727.266319,753.7844615
388.2956667,1730.886136,753.7844615
388.618,1734.505953,753.7844615
388.9403333,1738.12577,753.7844615
389.2626667,1741.745587,753.7844615
389.585,1745.365404,753.7844615
389.9073333,1748.985222,753.7844615
390.2296667,1752.605039,753.7844615
390.552,1756.224856,753.7844615
390.8743333,1759.844673,753.7844615
391.1966667,1763.46449,753.7844615
391.519,1767.084307,753.7844615
391.8413333,1770.704124,753.7844615
392.1636667,1774.323941,753.7844615
392.486,1777.943758,753.7844615
392.8083333,1781.563575,753.7844615
393.1306667,1785.183393,753.7844615
393.453,1788.80321,753.7844615
393.7753333,1792.423027,753.7844615
394.0976667,1796.042844,753.7844615
394.42,1799.662661,753.7844615
394.7423333,1803.282478,753.7844615
395.0646667,1806.902295,753.7844615
395.387,1810.522112,753.7844615
395.7093333,1814.141929,753.7844615
396.0316667,1817.761746,753.7844615
396.354,1821.381563,753.7844615
396.6763333,1825.001381,753.7844615
396.9986667,1828.621198,753.7844615
397.321,1832.241015,753.7844615
397.6433333,1835.860832,753.7844615
397.9656667,1839.480649,753.7844615
398.288,1843.100466,753.7844615
398.6103333,1846.720283,753.7844615
398.9326667,1850.3401,753.7844615
399.255,1853.959917,753.7844615
399.5773333,1857.579734,753.7844615
399.8996667,1861.199552,753.7844615
400.222,1864.819369,753.7844615
400.5443333,1868.439186,753.7844615
400.8666667,1872.059003,753.7844615
401.189,1875.67882,753.7844615
369.278,1458.953289,992.36
369.6003333,1466.839907,992.36
369.9226667,1474.726525,992.36
370.245,1482.613142,992.36
370.5673333,1490.49976,992.36
370.8896667,1498.386378,992.36
371.212,1506.272995,992.36
371.5343333,1514.159613,992.36
371.8566667,1522.046231,992.36
372.179,1529.932848,992.36
372.5013333,1537.819466,992.36
372.8236667,1545.706084,992.36
373.146,1553.592702,992.36
373.4683333,1561.479319,992.36
373.7906667,1569.365937,992.36
374.113,1577.252555,992.36
374.4353333,1585.139172,992.36
374.7576667,1593.02579,992.36
375.08,1600.912408,992.36
375.4023333,1608.799025,992.36
375.7246667,1616.685643,992.36
376.047,1624.572261,992.36
376.3693333,1632.458878,992.36
376.6916667,1640.345496,992.36
377.014,1648.232114,992.36
377.3363333,1656.118732,992.36
377.6586667,1664.005349,992.36
377.981,1671.891967,992.36
378.3033333,1679.778585,992.36
378.6256667,1687.665202,992.36
378.948,1695.55182,992.36
379.2703333,1703.438438,992.36
379.5926667,1711.325055,992.36
379.915,1719.211673,992.36
380.2373333,1727.098291,992.36
380.5596667,1734.984908,992.36
380.882,1742.871526,992.36
381.2043333,1750.758144,992.36
381.5266667,1758.644762,992.36
381.849,1766.531379,992.36
382.1713333,1774.417997,992.36
382.4936667,1782.304615,992.36
382.816,1790.191232,992.36
383.1383333,1798.07785,992.36
383.4606667,1805.964468,992.36
383.783,1813.851085,992.36
384.1053333,1821.737703,992.36
384.4276667,1829.624321,992.36
384.75,1837.510938,992.36
385.0723333,1845.397556,992.36
385.3946667,1853.284174,992.36
385.717,1861.170792,992.36
386.0393333,1869.057409,992.36
386.3616667,1876.944027,992.36
386.684,1884.830645,992.36
387.0063333,1892.717262,992.36
387.3286667,1900.60388,992.36
387.651,1908.490498,992.36
387.9733333,1916.377115,992.36
388.2956667,1924.263733,992.36
388.618,1932.150351,992.36
388.9403333,1940.036968,992.36
389.2626667,1947.923586,992.36
389.585,1955.810204,992.36
389.9073333,1963.696822,992.36
390.2296667,1971.583439,992.36
390.552,1979.470057,992.36
390.8743333,1987.356675,992.36
391.1966667,1995.243292,992.36
391.519,2003.12991,992.36
391.8413333,2011.016528,992.36
392.1636667,2018.903145,992.36
392.486,2026.789763,992.36
392.8083333,2034.676381,992.36
393.1306667,2042.562998,992.36
393.453,2050.449616,992.36
393.7753333,2058.336234,992.36
394.0976667,2066.222852,992.36
394.42,2074.109469,992.36
394.7423333,2081.996087,992.36
395.0646667,2089.882705,992.36
395.387,2097.769322,992.36
395.7093333,2105.65594,992.36
396.0316667,2113.542558,992.36
396.354,2121.429175,992.36
396.6763333,2129.315793,992.36
396.9986667,2137.202411,992.36
397.321,2145.089028,992.36
397.6433333,2152.975646,992.36
397.9656667,2160.862264,992.36
398.288,2168.748882,992.36
398.6103333,2176.635499,992.36
398.9326667,2184.522117,992.36
399.255,2192.408735,992.36
399.5773333,2200.295352,992.36
399.8996667,2208.18197,992.36
400.222,2216.068588,992.36
400.5443333,2223.955205,992.36
400.8666667,2231.841823,992.36
401.189,2239.728441,992.36
