CO2 Concentration,Predicted_GPP,P
380,521.9014218,1064.336
380.2050707,527.7314602,1064.336
380.4101414,533.5614987,1064.336
380.6152121,539.3915371,1064.336
380.8202828,545.2215756,1064.336
381.0253535,551.051614,1064.336
381.2304242,556.8816525,1064.336
381.4354949,562.7116909,1064.336
381.6405657,568.5417294,1064.336
381.8456364,574.3717678,1064.336
382.0507071,580.2018063,1064.336
382.2557778,586.0318447,1064.336
382.4608485,591.8618832,1064.336
382.6659192,597.6919216,1064.336
382.8709899,603.5219601,1064.336
383.0760606,609.3519985,1064.336
383.2811313,615.182037,1064.336
383.486202,621.0120754,1064.336
383.6912727,626.8421139,1064.336
383.8963434,632.6721523,1064.336
384.1014141,638.5021908,1064.336
384.3064848,644.3322292,1064.336
384.5115556,650.1622677,1064.336
384.7166263,655.9923061,1064.336
384.921697,661.8223446,1064.336
385.1267677,667.6523831,1064.336
385.3318384,673.4824215,1064.336
385.5369091,679.31246,1064.336
385.7419798,685.1424984,1064.336
385.9470505,690.9725369,1064.336
386.1521212,696.8025753,1064.336
386.3571919,702.6326138,1064.336
386.5622626,708.4626522,1064.336
386.7673333,714.2926907,1064.336
386.972404,720.1227291,1064.336
387.1774747,725.9527676,1064.336
387.3825455,731.782806,1064.336
387.5876162,737.6128445,1064.336
387.7926869,743.4428829,1064.336
387.9977576,749.2729214,1064.336
388.2028283,755.1029598,1064.336
388.407899,760.9329983,1064.336
388.6129697,766.7630367,1064.336
388.8180404,772.5930752,1064.336
389.0231111,778.4231136,1064.336
389.2281818,784.2531521,1064.336
389.4332525,790.0831905,1064.336
389.6383232,795.913229,1064.336
389.8433939,801.7432674,1064.336
390.0484646,807.5733059,1064.336
390.2535354,813.4033443,1064.336
390.4586061,819.2333828,1064.336
390.6636768,825.0634212,1064.336
390.8687475,830.8934597,1064.336
391.0738182,836.7234981,1064.336
391.2788889,842.5535366,1064.336
391.4839596,848.383575,1064.336
391.6890303,854.2136135,1064.336
391.894101,860.043652,1064.336
392.0991717,865.8736904,1064.336
392.3042424,871.7037289,1064.336
392.5093131,877.5337673,1064.336
392.7143838,883.3638058,1064.336
392.9194545,889.1938442,1064.336
393.1245253,895.0238827,1064.336
393.329596,900.8539211,1064.336
393.5346667,906.6839596,1064.336
393.7397374,912.513998,1064.336
393.9448081,918.3440365,1064.336
394.1498788,924.1740749,1064.336
394.3549495,930.0041134,1064.336
394.5600202,935.8341518,1064.336
394.7650909,941.6641903,1064.336
394.9701616,947.4942287,1064.336
395.1752323,953.3242672,1064.336
395.380303,959.1543056,1064.336
395.5853737,964.9843441,1064.336
395.7904444,970.8143825,1064.336
395.9955152,976.644421,1064.336
396.2005859,982.4744594,1064.336
396.4056566,988.3044979,1064.336
396.6107273,994.1345363,1064.336
396.815798,999.9645748,1064.336
397.0208687,1005.794613,1064.336
397.2259394,1011.624652,1064.336
397.4310101,1017.45469,1064.336
397.6360808,1023.284729,1064.336
397.8411515,1029.114767,1064.336
398.0462222,1034.944805,1064.336
398.2512929,1040.774844,1064.336
398.4563636,1046.604882,1064.336
398.6614343,1052.434921,1064.336
398.8665051,1058.264959,1064.336
399.0715758,1064.094998,1064.336
399.2766465,1069.925036,1064.336
399.4817172,1075.755075,1064.336
399.6867879,1081.585113,1064.336
399.8918586,1087.415152,1064.336
400.0969293,1093.24519,1064.336
400.302,1099.075228,1064.336
380,1472.012266,1418.634545
380.2050707,1485.382128,1418.634545
380.4101414,1498.751989,1418.634545
380.6152121,1512.121851,1418.634545
380.8202828,1525.491713,1418.634545
381.0253535,1538.861574,1418.634545
381.2304242,1552.231436,1418.634545
381.4354949,1565.601297,1418.634545
381.6405657,1578.971159,1418.634545
381.8456364,1592.341021,1418.634545
382.0507071,1605.710882,1418.634545
382.2557778,1619.080744,1418.634545
382.4608485,1632.450605,1418.634545
382.6659192,1645.820467,1418.634545
382.8709899,1659.190329,1418.634545
383.0760606,1672.56019,1418.634545
383.2811313,1685.930052,1418.634545
383.486202,1699.299913,1418.634545
383.6912727,1712.669775,1418.634545
383.8963434,1726.039637,1418.634545
384.1014141,1739.409498,1418.634545
384.3064848,1752.77936,1418.634545
384.5115556,1766.149221,1418.634545
384.7166263,1779.519083,1418.634545
384.921697,1792.888945,1418.634545
385.1267677,1806.258806,1418.634545
385.3318384,1819.628668,1418.634545
385.5369091,1832.998529,1418.634545
385.7419798,1846.368391,1418.634545
385.9470505,1859.738253,1418.634545
386.1521212,1873.108114,1418.634545
386.3571919,1886.477976,1418.634545
386.5622626,1899.847837,1418.634545
386.7673333,1913.217699,1418.634545
386.972404,1926.587561,1418.634545
387.1774747,1939.957422,1418.634545
387.3825455,1953.327284,1418.634545
