T,Predicted_GPP,CO2
-3.776,418.3859852,359
-3.720454545,422.6087294,359
-3.664909091,426.8314735,359
-3.609363636,431.0542177,359
-3.553818182,435.2769619,359
-3.498272727,439.499706,359
-3.442727273,443.7224502,359
-3.387181818,447.9451944,359
-3.331636364,452.1679385,359
-3.276090909,456.3906827,359
-3.220545455,460.6134269,359
-3.165,464.836171,359
-3.109454545,469.0589152,359
-3.053909091,473.2816594,359
-2.998363636,477.5044035,359
-2.942818182,481.7271477,359
-2.887272727,485.9498919,359
-2.831727273,490.172636,359
-2.776181818,494.3953802,359
-2.720636364,498.6181244,359
-2.665090909,502.8408685,359
-2.609545455,507.0636127,359
-2.554,511.2863569,359
-2.498454545,515.509101,359
-2.442909091,519.7318452,359
-2.387363636,523.9545894,359
-2.331818182,528.1773335,359
-2.276272727,532.4000777,359
-2.220727273,536.6228219,359
-2.165181818,540.845566,359
-2.109636364,545.0683102,359
-2.054090909,549.2910544,359
-1.998545455,553.5137985,359
-1.943,557.7365427,359
-1.887454545,561.9592869,359
-1.831909091,566.182031,359
-1.776363636,570.4047752,359
-1.720818182,574.6275194,359
-1.665272727,578.8502635,359
-1.609727273,583.0730077,359
-1.554181818,587.2957519,359
-1.498636364,591.518496,359
-1.443090909,595.7412402,359
-1.387545455,599.9639844,359
-1.332,604.1867285,359
-1.276454545,608.4094727,359
-1.220909091,612.6322169,359
-1.165363636,616.854961,359
-1.109818182,621.0777052,359
-1.054272727,625.3004494,359
-0.998727273,629.5231935,359
-0.943181818,633.7459377,359
-0.887636364,637.9686819,359
-0.832090909,642.191426,359
-0.776545455,646.4141702,359
-0.721,650.6369144,359
-0.665454545,654.8596585,359
-0.609909091,659.0824027,359
-0.554363636,663.3051469,359
-0.498818182,667.527891,359
-0.443272727,671.7506352,359
-0.387727273,675.9733794,359
-0.332181818,680.1961235,359
-0.276636364,684.4188677,359
-0.221090909,688.6416119,359
-0.165545455,692.864356,359
-0.11,697.0871002,359
-0.054454545,701.3098444,359
0.001090909,705.5325885,359
0.056636364,709.7553327,359
0.112181818,713.9780769,359
0.167727273,718.200821,359
0.223272727,722.4235652,359
0.278818182,726.6463094,359
0.334363636,730.8690535,359
0.389909091,735.0917977,359
0.445454545,739.3145419,359
0.501,743.537286,359
0.556545455,747.7600302,359
0.612090909,751.9827744,359
0.667636364,756.2055185,359
0.723181818,760.4282627,359
0.778727273,764.6510069,359
0.834272727,768.873751,359
0.889818182,773.0964952,359
0.945363636,777.3192394,359
1.000909091,781.5419835,359
1.056454545,785.7647277,359
1.112,789.9874719,359
1.167545455,794.210216,359
1.223090909,798.4329602,359
1.278636364,802.6557044,359
1.334181818,806.8784485,359
1.389727273,811.1011927,359
1.445272727,815.3239369,359
1.500818182,819.546681,359
1.556363636,823.7694252,359
1.611909091,827.9921694,359
1.667454545,832.2149135,359
1.723,836.4376577,359
-3.776,652.985585,376.2329333
-3.720454545,656.5076787,376.2329333
-3.664909091,660.0297723,376.2329333
-3.609363636,663.551866,376.2329333
-3.553818182,667.0739596,376.2329333
-3.498272727,670.5960533,376.2329333
-3.442727273,674.118147,376.2329333
-3.387181818,677.6402406,376.2329333
-3.331636364,681.1623343,376.2329333
-3.276090909,684.6844279,376.2329333
-3.220545455,688.2065216,376.2329333
-3.165,691.7286152,376.2329333
-3.109454545,695.2507089,376.2329333
-3.053909091,698.7728026,376.2329333
-2.998363636,702.2948962,376.2329333
-2.942818182,705.8169899,376.2329333
-2.887272727,709.3390835,376.2329333
-2.831727273,712.8611772,376.2329333
-2.776181818,716.3832709,376.2329333
-2.720636364,719.9053645,376.2329333
-2.665090909,723.4274582,376.2329333
-2.609545455,726.9495518,376.2329333
-2.554,730.4716455,376.2329333
-2.498454545,733.9937391,376.2329333
-2.442909091,737.5158328,376.2329333
-2.387363636,741.0379265,376.2329333
-2.331818182,744.5600201,376.2329333
-2.276272727,748.0821138,376.2329333
-2.220727273,751.6042074,376.2329333
-2.165181818,755.1263011,376.2329333
-2.109636364,758.6483947,376.2329333
-2.054090909,762.1704884,376.2329333
-1.998545455,765.6925821,376.2329333
-1.943,769.2146757,376.2329333
-1.887454545,772.7367694,376.2329333
-1.831909091,776.258863,376.2329333
-1.776363636,779.7809567,376.2329333
-1.720818182,783.3030503,376.2329333
-1.665272727,786.825144,376.2329333
-1.609727273,790.3472377,376.2329333
-1.554181818,793.8693313,376.2329333
-1.498636364,797.391425,376.2329333
-1.443090909,800.9135186,376.2329333
-1.387545455,804.4356123,376.2329333
-1.332,807.9577059,376.2329333
-1.276454545,811.4797996,376.2329333
-1.220909091,815.0018933,376.2329333
-1.165363636,818.5239869,376.2329333
-1.109818182,822.0460806,376.2329333
-1.054272727,825.5681742,376.2329333
-0.998727273,829.0902679,376.2329333
-0.943181818,832.6123616,376.2329333
-0.887636364,836.1344552,376.2329333
-0.832090909,839.6565489,376.2329333
-0.776545455,843.1786425,376.2329333
-0.721,846.7007362,376.2329333
-0.665454545,850.2228298,376.2329333
-0.609909091,853.7449235,376.2329333
-0.554363636,857.2670172,376.2329333
-0.498818182,860.7891108,376.2329333
-0.443272727,864.3112045,376.2329333
-0.387727273,867.8332981,376.2329333
-0.332181818,871.3553918,376.2329333
-0.276636364,874.8774854,376.2329333
-0.221090909,878.3995791,376.2329333
-0.165545455,881.9216728,376.2329333
-0.11,885.4437664,376.2329333
-0.054454545,888.9658601,376.2329333
0.001090909,892.4879537,376.2329333
0.056636364,896.0100474,376.2329333
0.112181818,899.532141,376.2329333
0.167727273,903.0542347,376.2329333
0.223272727,906.5763284,376.2329333
0.278818182,910.098422,376.2329333
0.334363636,913.6205157,376.2329333
0.389909091,917.1426093,376.2329333
0.445454545,920.664703,376.2329333
0.501,924.1867967,376.2329333
0.556545455,927.7088903,376.2329333
0.612090909,931.230984,376.2329333
0.667636364,934.7530776,376.2329333
0.723181818,938.2751713,376.2329333
0.778727273,941.7972649,376.2329333
0.834272727,945.3193586,376.2329333
0.889818182,948.8414523,376.2329333
0.945363636,952.3635459,376.2329333
1.000909091,955.8856396,376.2329333
1.056454545,959.4077332,376.2329333
1.112,962.9298269,376.2329333
1.167545455,966.4519205,376.2329333
1.223090909,969.9740142,376.2329333
1.278636364,973.4961079,376.2329333
1.334181818,977.0182015,376.2329333
1.389727273,980.5402952,376.2329333
1.445272727,984.0623888,376.2329333
1.500818182,987.5844825,376.2329333
1.556363636,991.1065761,376.2329333
1.611909091,994.6286698,376.2329333
1.667454545,998.1507635,376.2329333
1.723,1001.672857,376.2329333
-3.776,792.6731172,396
-3.720454545,795.3915284,396
-3.664909091,798.1099397,396
-3.609363636,800.8283509,396
-3.553818182,803.5467622,396
-3.498272727,806.2651734,396
-3.442727273,808.9835847,396
-3.387181818,811.7019959,396
-3.331636364,814.4204072,396
-3.276090909,817.1388184,396
-3.220545455,819.8572297,396
-3.165,822.5756409,396
-3.109454545,825.2940522,396
-3.053909091,828.0124634,396
-2.998363636,830.7308747,396
-2.942818182,833.449286,396
-2.887272727,836.1676972,396
-2.831727273,838.8861085,396
-2.776181818,841.6045197,396
-2.720636364,844.322931,396
-2.665090909,847.0413422,396
-2.609545455,849.7597535,396
-2.554,852.4781647,396
-2.498454545,855.196576,396
-2.442909091,857.9149872,396
-2.387363636,860.6333985,396
-2.331818182,863.3518097,396
-2.276272727,866.070221,396
-2.220727273,868.7886322,396
-2.165181818,871.5070435,396
-2.109636364,874.2254547,396
-2.054090909,876.943866,396
-1.998545455,879.6622772,396
-1.943,882.3806885,396
-1.887454545,885.0990997,396
-1.831909091,887.817511,396
-1.776363636,890.5359222,396
-1.720818182,893.2543335,396
-1.665272727,895.9727447,396
-1.609727273,898.691156,396
-1.554181818,901.4095673,396
-1.498636364,904.1279785,396
-1.443090909,906.8463898,396
-1.387545455,909.564801,396
-1.332,912.2832123,396
-1.276454545,915.0016235,396
-1.220909091,917.7200348,396
-1.165363636,920.438446,396
-1.109818182,923.1568573,396
-1.054272727,925.8752685,396
-0.998727273,928.5936798,396
-0.943181818,931.312091,396
-0.887636364,934.0305023,396
-0.832090909,936.7489135,396
-0.776545455,939.4673248,396
-0.721,942.185736,396
-0.665454545,944.9041473,396
-0.609909091,947.6225585,396
-0.554363636,950.3409698,396
-0.498818182,953.059381,396
-0.443272727,955.7777923,396
-0.387727273,958.4962035,396
-0.332181818,961.2146148,396
-0.276636364,963.933026,396
-0.221090909,966.6514373,396
-0.165545455,969.3698486,396
-0.11,972.0882598,396
-0.054454545,974.8066711,396
0.001090909,977.5250823,396
0.056636364,980.2434936,396
0.112181818,982.9619048,396
0.167727273,985.6803161,396
0.223272727,988.3987273,396
0.278818182,991.1171386,396
0.334363636,993.8355498,396
0.389909091,996.5539611,396
0.445454545,999.2723723,396
0.501,1001.990784,396
0.556545455,1004.709195,396
0.612090909,1007.427606,396
0.667636364,1010.146017,396
0.723181818,1012.864429,396
0.778727273,1015.58284,396
0.834272727,1018.301251,396
0.889818182,1021.019662,396
0.945363636,1023.738074,396
1.000909091,1026.456485,396
1.056454545,1029.174896,396
1.112,1031.893307,396
1.167545455,1034.611719,396
1.223090909,1037.33013,396
1.278636364,1040.048541,396
1.334181818,1042.766952,396
1.389727273,1045.485364,396
1.445272727,1048.203775,396
1.500818182,1050.922186,396
1.556363636,1053.640597,396
1.611909091,1056.359009,396
1.667454545,1059.07742,396
1.723,1061.795831,396
