P,Predicted_GPP,CO2
360.783,519.37889,362.81
366.3374242,526.42533,362.81
371.8918485,533.47176,362.81
377.4462727,540.5182,362.81
383.000697,547.56464,362.81
388.5551212,554.61108,362.81
394.1095455,561.65752,362.81
399.6639697,568.70396,362.81
405.2183939,575.7504,362.81
410.7728182,582.79684,362.81
416.3272424,589.84328,362.81
421.8816667,596.88972,362.81
427.4360909,603.93615,362.81
432.9905152,610.98259,362.81
438.5449394,618.02903,362.81
444.0993636,625.07547,362.81
449.6537879,632.12191,362.81
455.2082121,639.16835,362.81
460.7626364,646.21479,362.81
466.3170606,653.26123,362.81
471.8714848,660.30767,362.81
477.4259091,667.35411,362.81
482.9803333,674.40054,362.81
488.5347576,681.44698,362.81
494.0891818,688.49342,362.81
499.6436061,695.53986,362.81
505.1980303,702.5863,362.81
510.7524545,709.63274,362.81
516.3068788,716.67918,362.81
521.861303,723.72562,362.81
527.4157273,730.77206,362.81
532.9701515,737.8185,362.81
538.5245758,744.86494,362.81
544.079,751.91137,362.81
549.6334242,758.95781,362.81
555.1878485,766.00425,362.81
560.7422727,773.05069,362.81
566.296697,780.09713,362.81
571.8511212,787.14357,362.81
577.4055455,794.19001,362.81
582.9599697,801.23645,362.81
588.5143939,808.28289,362.81
594.0688182,815.32933,362.81
599.6232424,822.37576,362.81
605.1776667,829.4222,362.81
610.7320909,836.46864,362.81
616.2865152,843.51508,362.81
621.8409394,850.56152,362.81
627.3953636,857.60796,362.81
632.9497879,864.6544,362.81
638.5042121,871.70084,362.81
644.0586364,878.74728,362.81
649.6130606,885.79372,362.81
655.1674848,892.84015,362.81
660.7219091,899.88659,362.81
666.2763333,906.93303,362.81
671.8307576,913.97947,362.81
677.3851818,921.02591,362.81
682.9396061,928.07235,362.81
688.4940303,935.11879,362.81
694.0484545,942.16523,362.81
699.6028788,949.21167,362.81
705.157303,956.25811,362.81
710.7117273,963.30454,362.81
716.2661515,970.35098,362.81
721.8205758,977.39742,362.81
727.375,984.44386,362.81
732.9294242,991.4903,362.81
738.4838485,998.53674,362.81
744.0382727,1005.58318,362.81
749.592697,1012.62962,362.81
755.1471212,1019.67606,362.81
760.7015455,1026.7225,362.81
766.2559697,1033.76893,362.81
771.8103939,1040.81537,362.81
777.3648182,1047.86181,362.81
782.9192424,1054.90825,362.81
788.4736667,1061.95469,362.81
794.0280909,1069.00113,362.81
799.5825152,1076.04757,362.81
805.1369394,1083.09401,362.81
810.6913636,1090.14045,362.81
816.2457879,1097.18689,362.81
821.8002121,1104.23333,362.81
827.3546364,1111.27976,362.81
832.9090606,1118.3262,362.81
838.4634848,1125.37264,362.81
844.0179091,1132.41908,362.81
